Type,Name,URL,CRC,Size
DIRECTORY,Redump Custom,,,
FILE,Audio CD - Spillover Tracks - Datfile.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Redump Custom/Audio CD - Spillover Tracks - Datfile.dat,1856152456,12921
FILE,Nintendo - Wii - NKit WBFS [lossless].dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Redump Custom/Nintendo - Wii - NKit WBFS [lossless].dat,1758030927,1355227
FILE,Nintendo - Wii U - WUX.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Redump Custom/Nintendo - Wii U - WUX.dat,2490951653,186554
FILE,Nintendo - Wii - NKit RVZ [zstd-19-128k].dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Redump Custom/Nintendo - Wii - NKit RVZ [zstd-19-128k].dat,1395071962,1328408
FILE,Nintendo - GameCube - NKit RVZ [zstd-19-128k].dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Redump Custom/Nintendo - GameCube - NKit RVZ [zstd-19-128k].dat,1602504837,677938
FILE,modified,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/modified,2055063448,30
DIRECTORY,Unofficial,,,
FILE,Unofficial - Nintendo - Wii (Digital) (Split DLC) (Deprecated) (WAD).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Nintendo - Wii (Digital) (Split DLC) (Deprecated) (WAD).dat,3484822083,2010223
FILE,Unofficial - Video Game Magazine Scans (CBZ).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Video Game Magazine Scans (CBZ).dat,3056955680,81686
FILE,Unofficial - Sony - PlayStation Vita (VPK).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Vita (VPK).dat,2959691548,93007
FILE,Unofficial - Nintendo - Wii U (Digital) (Deprecated).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Nintendo - Wii U (Digital) (Deprecated).dat,2603689920,4007005
FILE,Unofficial - Microsoft - Xbox 360 (Title Updates).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Microsoft - Xbox 360 (Title Updates).dat,3109743328,454671
FILE,Unofficial - Nintendo - Wii (Digital) (Deprecated) (WAD).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Nintendo - Wii (Digital) (Deprecated) (WAD).dat,3944987211,1131995
FILE,Unofficial - Sony - PlayStation Vita (NoNpDrm).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Vita (NoNpDrm).dat,2708366918,8299121
FILE,Unofficial - Sony - PlayStation Portable (UMD Video).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Portable (UMD Video).dat,3603144405,363426
FILE,Unofficial - Video Game Documents (PDF).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Video Game Documents (PDF).dat,1761869598,1102
FILE,Unofficial - Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted).dat,3943736923,24731
FILE,Unofficial - Video Game Magazine Scans (PDF).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Video Game Magazine Scans (PDF).dat,3599612307,236727
FILE,Unofficial - Video Game Digital OSTs (RAW).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Video Game Digital OSTs (RAW).dat,3345263595,170753
FILE,Unofficial - Sony - PlayStation Portable (PSN) (Decrypted).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Portable (PSN) (Decrypted).dat,2132387004,5244184
FILE,Unofficial - Sony - PlayStation Vita (BlackFinPSV).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Vita (BlackFinPSV).dat,2735805351,25594
FILE,Unofficial - Sony - PlayStation Vita (PSN) (Decrypted) (NoNpDrm).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Vita (PSN) (Decrypted) (NoNpDrm).dat,3241821128,16314
FILE,Unofficial - Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted).dat,195463145,836645
FILE,Unofficial - Sony - PlayStation Vita (PSN) (Decrypted) (VPK).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Vita (PSN) (Decrypted) (VPK).dat,1487554504,19798
FILE,Unofficial - Sony - PlayStation Portable (UMD Music).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Portable (UMD Music).dat,3059715582,24017
FILE,Unofficial - Video Game Magazine Scans (RAW).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Video Game Magazine Scans (RAW).dat,671548223,2603591
FILE,Unofficial - Video Game Manual Scans (JPEG).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Video Game Manual Scans (JPEG).dat,3690392519,5860
FILE,Unofficial - Sony - PlayStation 3 (PSN) (Decrypted).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation 3 (PSN) (Decrypted).dat,4014060207,168647
FILE,Unofficial - Sony - PlayStation 4 (PSN).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation 4 (PSN).dat,3544248308,2530973
FILE,Unofficial - Sony - PlayStation Portable (PSX2PSP).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Portable (PSX2PSP).dat,1877075656,151859
FILE,Unofficial - Video Game Scans (RAW).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Video Game Scans (RAW).dat,491821344,22433
FILE,Unofficial - Sony - PlayStation Vita (PSVgameSD).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/Unofficial/Unofficial - Sony - PlayStation Vita (PSVgameSD).dat,2658272089,157789
DIRECTORY,No-Intro,,,
FILE,Sanyo - MBC-550 (Flux).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Sanyo - MBC-550 (Flux).dat,1416032966,48566
FILE,Casio - Loopy.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Casio - Loopy.dat,4075596317,4590
FILE,Nintendo - Nintendo DS (Download Play).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Nintendo - Nintendo DS (Download Play).dat,2089044776,577773
FILE,Apple - IIGS (A2R).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Apple - IIGS (A2R).dat,3534638207,91647
FILE,Microsoft - MSX2.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Microsoft - MSX2.dat,3866538755,60751
FILE,Sony - PlayStation (PS one Classics) (PSN).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Sony - PlayStation (PS one Classics) (PSN).dat,677100028,645424
FILE,NEC - PC-98 (Uncategorized).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/NEC - PC-98 (Uncategorized).dat,2767493376,7775
FILE,Nintendo - Nintendo 64 (Mario no Photopi SmartMedia).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Nintendo - Nintendo 64 (Mario no Photopi SmartMedia).dat,2153715526,2849
FILE,Commodore - Commodore 64 (Tapes).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Commodore - Commodore 64 (Tapes).dat,4088166308,510437
FILE,Philips - Videopac+.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Philips - Videopac+.dat,2078154025,10263
FILE,Nintendo - Nintendo DSi (Decrypted).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Nintendo - Nintendo DSi (Decrypted).dat,165260999,12000
FILE,Nintendo - Family BASIC (Tapes).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/No-Intro/No-Intro/Nintendo - Family BASIC (Tapes).dat,3544127086,7552
