Type,Name,URL,CRC,Size
FILE,Konami System 573.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Konami System 573.dat,36952316,1233
FILE,Incredible Technologies Eagle.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Incredible Technologies Eagle.dat,1465651581,2923
FILE,Commodore Amiga CD.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Commodore Amiga CD.dat,2442750762,291344
FILE,IBM PC compatible.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/IBM PC compatible.dat,2263456883,32443302
FILE,IBM PC compatible - SBI Subchannels,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/IBM PC compatible - SBI Subchannels,2952351438,437419
FILE,Microsoft Xbox.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Microsoft Xbox.dat,1776025884,894116
FILE,Panasonic 3DO Interactive Multiplayer.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Panasonic 3DO Interactive Multiplayer.dat,3404449116,316085
FILE,Bandai Pippin.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Bandai Pippin.dat,2291224684,12444
FILE,Commodore Amiga CDTV.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Commodore Amiga CDTV.dat,2079111820,54728
FILE,Sony PlayStation 3.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sony PlayStation 3.dat,2093155355,1535697
FILE,Tomy Kiss-Site.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Tomy Kiss-Site.dat,3411265661,37326
FILE,PlayStation GameShark Updates.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/PlayStation GameShark Updates.dat,1466428699,210648
FILE,Sony PlayStation Portable.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sony PlayStation Portable.dat,3573801868,934228
FILE,Palm OS.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Palm OS.dat,680859334,55848
FILE,Fujitsu FM Towns series.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Fujitsu FM Towns series.dat,2103940365,2585687
FILE,Mattel HyperScan.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Mattel HyperScan.dat,3615254742,3797
FILE,Microsoft Xbox 360.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Microsoft Xbox 360.dat,4263097684,1114070
FILE,Sega RingEdge.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega RingEdge.dat,3984315069,2919
FILE,Pocket PC.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Pocket PC.dat,2993397429,25971
FILE,Sega Lindbergh.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega Lindbergh.dat,2087931147,4505
FILE,Konami e-Amusement.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Konami e-Amusement.dat,3760147922,19197
FILE,Namco System 246.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Namco System 246.dat,1346009985,3580
FILE,Sega Chihiro.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega Chihiro.dat,178082065,16921
FILE,funworld Photo Play.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/funworld Photo Play.dat,3586591886,2030
FILE,Bandai Playdia Quick Interactive System.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Bandai Playdia Quick Interactive System.dat,1688677462,30295
FILE,Sony PlayStation - BIOS Images.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sony PlayStation - BIOS Images.dat,3937372151,5610
FILE,modified,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/modified,1957732762,30
FILE,Atari Jaguar CD Interactive Multimedia System.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Atari Jaguar CD Interactive Multimedia System.dat,3624140829,59138
FILE,Sega Naomi 2.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega Naomi 2.dat,1469997933,6808
FILE,Sony PlayStation.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sony PlayStation.dat,1493682833,12548121
FILE,NEC PC-88 series.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/NEC PC-88 series.dat,3197771371,7809
FILE,Apple Macintosh.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Apple Macintosh.dat,1422829008,757247
FILE,NEC PC Engine CD & TurboGrafx CD.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/NEC PC Engine CD & TurboGrafx CD.dat,285263049,3053020
FILE,Nintendo GameCube - BIOS Images.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Nintendo GameCube - BIOS Images.dat,1554148374,3762
FILE,Sega Naomi.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega Naomi.dat,640171089,27069
FILE,Sega Prologue 21 Multimedia Karaoke System.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega Prologue 21 Multimedia Karaoke System.dat,2858512140,178447
FILE,VTech V.Flash & V.Smile Pro.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/VTech V.Flash & V.Smile Pro.dat,814753654,25875
FILE,Sega RingEdge 2.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega RingEdge 2.dat,1532138000,2831
FILE,Sega Saturn.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega Saturn.dat,3364640107,5776657
FILE,Sony PlayStation 2.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sony PlayStation 2.dat,665503514,4443010
FILE,Konami FireBeat.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Konami FireBeat.dat,1337270461,3820
FILE,Microsoft Xbox - BIOS Images.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Microsoft Xbox - BIOS Images.dat,1882690833,1795
FILE,Acorn Archimedes.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Acorn Archimedes.dat,3586436518,45280
FILE,Sony PlayStation - SBI Subchannels,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sony PlayStation - SBI Subchannels,3555055329,104950
FILE,Nintendo Wii.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Nintendo Wii.dat,3690908849,1348921
FILE,Nintendo GameCube.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Nintendo GameCube.dat,460405999,690018
FILE,Sega Dreamcast.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sega Dreamcast.dat,3946242219,2512161
FILE,Memorex Visual Information System.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Memorex Visual Information System.dat,894135583,49967
FILE,Mattel Fisher-Price iXL.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Mattel Fisher-Price iXL.dat,2434121655,13255
FILE,Philips CD-i.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Philips CD-i.dat,1881629907,1233836
FILE,Commodore Amiga CD32.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Commodore Amiga CD32.dat,1246198382,280527
FILE,Apple Macintosh - SBI Subchannels,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Apple Macintosh - SBI Subchannels,3623369694,592
FILE,ZAPiT Games Game Wave Family Entertainment System.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/ZAPiT Games Game Wave Family Entertainment System.dat,1289084593,5426
FILE,TAB-Austria Quizard.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/TAB-Austria Quizard.dat,605941091,4754
FILE,NEC PC-98 series.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/NEC PC-98 series.dat,1316534611,219478
FILE,Sharp X68000.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sharp X68000.dat,2497449714,38977
FILE,Sony PlayStation 2 - BIOS Images.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Sony PlayStation 2 - BIOS Images.dat,3738604749,26019
FILE,Namco · Sega · Nintendo Triforce.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/Redump/Namco · Sega · Nintendo Triforce.dat,1871406718,20839
