Type,Name,URL,CRC,Size
FILE,modified,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/modified,985452342,30
FILE,index.csv,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/index.csv,714504452,283240
DIRECTORY,MAME Reference Sets,,,
FILE,MAME 0.160 CHDs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.160 CHDs (merged).xml,3677356790,122197
FILE,MAME 0.94 CHDs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.94 CHDs (merged).xml,450645812,13721
FILE,MAME 0.139 CHDs (merged) (dir2dat).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.139 CHDs (merged) (dir2dat).dat,763497265,62839
FILE,MAME 0.94 Samples.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.94 Samples.dat,2249602012,86396
FILE,MAME 0.174 CHDs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.174 CHDs (merged).xml,1091707351,131199
FILE,MAME 0.139 CHDs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.139 CHDs (merged).xml,2034222531,76145
FILE,MAME 0.174 ROMs (non-merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.174 ROMs (non-merged).xml,153282027,34339007
FILE,MAME 0.174 Samples.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.174 Samples.dat,1742033904,104067
FILE,MAME 0.78 CHDs (merged) (dir2dat).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.78 CHDs (merged) (dir2dat).dat,412604217,5377
FILE,MAME 0.94 CHDs (merged) (dir2dat).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.94 CHDs (merged) (dir2dat).dat,3488102154,11515
FILE,MAME 0.160 ROMs (non-merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME Reference Sets/MAME 0.160 ROMs (non-merged).xml,3710238203,29394265
