Type,Name,URL,CRC,Size
DIRECTORY,SNK,,,
DIRECTORY,Hyper Neo-Geo 64,,,
DIRECTORY,CD,,,
DIRECTORY,Multimedia,,,
DIRECTORY,SNK Hyper Neo-Geo 64 - CD - Multimedia,,,
FILE,SNK Hyper Neo-Geo 64 - CD - Multimedia (TOSEC-v2014-06-12_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Hyper Neo-Geo 64/CD/Multimedia/SNK Hyper Neo-Geo 64 - CD - Multimedia/SNK Hyper Neo-Geo 64 - CD - Multimedia (TOSEC-v2014-06-12_CM).dat,84377311,1285
DIRECTORY,Neo-Geo CD,,,
DIRECTORY,Bonus Discs,,,
DIRECTORY,SNK Neo-Geo CD - Bonus Discs,,,
FILE,SNK Neo-Geo CD - Bonus Discs (TOSEC-v2014-06-12_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Bonus Discs/SNK Neo-Geo CD - Bonus Discs/SNK Neo-Geo CD - Bonus Discs (TOSEC-v2014-06-12_CM).dat,1969745696,970
DIRECTORY,Firmware,,,
DIRECTORY,SNK Neo-Geo CD - Firmware,,,
FILE,SNK Neo-Geo CD - Firmware (TOSEC-v2012-09-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Firmware/SNK Neo-Geo CD - Firmware/SNK Neo-Geo CD - Firmware (TOSEC-v2012-09-08_CM).dat,3600940141,1486
DIRECTORY,Samplers,,,
DIRECTORY,[Multipart],,,
DIRECTORY,SNK Neo-Geo CD - Samplers - [Multipart],,,
FILE,SNK Neo-Geo CD - Samplers - [Multipart] (TOSEC-v2012-09-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Samplers/[Multipart]/SNK Neo-Geo CD - Samplers - [Multipart]/SNK Neo-Geo CD - Samplers - [Multipart] (TOSEC-v2012-09-08_CM).dat,2576943201,1986
DIRECTORY,[IMG],,,
DIRECTORY,SNK Neo-Geo CD - Samplers - [IMG],,,
FILE,SNK Neo-Geo CD - Samplers - [IMG] (TOSEC-v2012-09-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Samplers/[IMG]/SNK Neo-Geo CD - Samplers - [IMG]/SNK Neo-Geo CD - Samplers - [IMG] (TOSEC-v2012-09-08_CM).dat,3352397656,1830
DIRECTORY,[ISO],,,
DIRECTORY,SNK Neo-Geo CD - Samplers - [ISO],,,
FILE,SNK Neo-Geo CD - Samplers - [ISO] (TOSEC-v2014-06-12_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Samplers/[ISO]/SNK Neo-Geo CD - Samplers - [ISO]/SNK Neo-Geo CD - Samplers - [ISO] (TOSEC-v2014-06-12_CM).dat,3996715537,18628
DIRECTORY,Demos,,,
DIRECTORY,SNK Neo-Geo CD - Demos,,,
FILE,SNK Neo-Geo CD - Demos (TOSEC-v2022-06-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Demos/SNK Neo-Geo CD - Demos/SNK Neo-Geo CD - Demos (TOSEC-v2022-06-08_CM).dat,2268251035,2584
DIRECTORY,Games,,,
DIRECTORY,[Multipart],,,
DIRECTORY,SNK Neo-Geo CD - Games - [Multipart],,,
FILE,SNK Neo-Geo CD - Games - [Multipart] (TOSEC-v2012-09-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Games/[Multipart]/SNK Neo-Geo CD - Games - [Multipart]/SNK Neo-Geo CD - Games - [Multipart] (TOSEC-v2012-09-08_CM).dat,1218472996,2003
DIRECTORY,[IMG],,,
DIRECTORY,SNK Neo-Geo CD - Games - [IMG],,,
FILE,SNK Neo-Geo CD - Games - [IMG] (TOSEC-v2014-06-12_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Games/[IMG]/SNK Neo-Geo CD - Games - [IMG]/SNK Neo-Geo CD - Games - [IMG] (TOSEC-v2014-06-12_CM).dat,1968779432,97412
DIRECTORY,[ISO],,,
DIRECTORY,SNK Neo-Geo CD - Games - [ISO],,,
FILE,SNK Neo-Geo CD - Games - [ISO] (TOSEC-v2022-06-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Games/[ISO]/SNK Neo-Geo CD - Games - [ISO]/SNK Neo-Geo CD - Games - [ISO] (TOSEC-v2022-06-08_CM).dat,3390764430,649236
DIRECTORY,Multimedia,,,
DIRECTORY,[IMG],,,
DIRECTORY,SNK Neo-Geo CD - Multimedia - [IMG],,,
FILE,SNK Neo-Geo CD - Multimedia - [IMG] (TOSEC-v2014-06-12_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Multimedia/[IMG]/SNK Neo-Geo CD - Multimedia - [IMG]/SNK Neo-Geo CD - Multimedia - [IMG] (TOSEC-v2014-06-12_CM).dat,3255893577,20293
DIRECTORY,[ISO],,,
DIRECTORY,SNK Neo-Geo CD - Multimedia - [ISO],,,
FILE,SNK Neo-Geo CD - Multimedia - [ISO] (TOSEC-v2014-06-12_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/SNK/Neo-Geo CD/Multimedia/[ISO]/SNK Neo-Geo CD - Multimedia - [ISO]/SNK Neo-Geo CD - Multimedia - [ISO] (TOSEC-v2014-06-12_CM).dat,1162747461,12022
FILE,modified,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/modified,3632171485,30
DIRECTORY,Capcom,,,
DIRECTORY,CP System III,,,
DIRECTORY,Games,,,
DIRECTORY,Capcom CP System III - Games,,,
FILE,Capcom CP System III - Games (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Capcom/CP System III/Games/Capcom CP System III - Games/Capcom CP System III - Games (TOSEC-v2012-07-22_CM).dat,2018076959,4615
DIRECTORY,American Laser Games,,,
DIRECTORY,CD-ROM System,,,
DIRECTORY,Games,,,
DIRECTORY,American Laser Games CD-ROM System - Games,,,
FILE,American Laser Games CD-ROM System - Games (TOSEC-v2012-07-05_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/American Laser Games/CD-ROM System/Games/American Laser Games CD-ROM System - Games/American Laser Games CD-ROM System - Games (TOSEC-v2012-07-05_CM).dat,1413875355,1689
DIRECTORY,Philips,,,
DIRECTORY,CD-i,,,
DIRECTORY,Bonus Discs,,,
DIRECTORY,Philips CD-i - Bonus Discs,,,
FILE,Philips CD-i - Bonus Discs (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Bonus Discs/Philips CD-i - Bonus Discs/Philips CD-i - Bonus Discs (TOSEC-v2012-07-13_CM).dat,3991387173,3942
DIRECTORY,Homebrew,,,
DIRECTORY,Demos,,,
DIRECTORY,Philips CD-i - Homebrew - Demos,,,
FILE,Philips CD-i - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Homebrew/Demos/Philips CD-i - Homebrew - Demos/Philips CD-i - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat,3216121610,1018
DIRECTORY,Games,,,
DIRECTORY,[NRG],,,
DIRECTORY,Philips CD-i - Homebrew - Games - [NRG],,,
FILE,Philips CD-i - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Homebrew/Games/[NRG]/Philips CD-i - Homebrew - Games - [NRG]/Philips CD-i - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat,2664434091,1093
DIRECTORY,[BIN],,,
DIRECTORY,Philips CD-i - Homebrew - Games - [BIN],,,
FILE,Philips CD-i - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Homebrew/Games/[BIN]/Philips CD-i - Homebrew - Games - [BIN]/Philips CD-i - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat,2249830870,1551
DIRECTORY,Firmware,,,
DIRECTORY,Philips CD-i - Firmware,,,
FILE,Philips CD-i - Firmware (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Firmware/Philips CD-i - Firmware/Philips CD-i - Firmware (TOSEC-v2012-07-13_CM).dat,360444496,1941
DIRECTORY,Educational,,,
DIRECTORY,Philips CD-i - Educational,,,
FILE,Philips CD-i - Educational (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Educational/Philips CD-i - Educational/Philips CD-i - Educational (TOSEC-v2012-07-13_CM).dat,2518703125,93867
DIRECTORY,Samplers,,,
DIRECTORY,Philips CD-i - Samplers,,,
FILE,Philips CD-i - Samplers (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Samplers/Philips CD-i - Samplers/Philips CD-i - Samplers (TOSEC-v2012-07-13_CM).dat,2491757700,24362
DIRECTORY,Applications,,,
DIRECTORY,Philips CD-i - Applications,,,
FILE,Philips CD-i - Applications (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Applications/Philips CD-i - Applications/Philips CD-i - Applications (TOSEC-v2012-07-13_CM).dat,3755200337,5125
DIRECTORY,Coverdiscs,,,
DIRECTORY,Philips CD-i - Coverdiscs,,,
FILE,Philips CD-i - Coverdiscs (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Coverdiscs/Philips CD-i - Coverdiscs/Philips CD-i - Coverdiscs (TOSEC-v2012-07-13_CM).dat,443852701,2285
DIRECTORY,Games,,,
DIRECTORY,Philips CD-i - Games,,,
FILE,Philips CD-i - Games (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Games/Philips CD-i - Games/Philips CD-i - Games (TOSEC-v2012-07-13_CM).dat,167101317,121623
DIRECTORY,Multimedia,,,
DIRECTORY,Philips CD-i - Multimedia,,,
FILE,Philips CD-i - Multimedia (TOSEC-v2013-10-03_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Philips/CD-i/Multimedia/Philips CD-i - Multimedia/Philips CD-i - Multimedia (TOSEC-v2013-10-03_CM).dat,1581994113,168993
DIRECTORY,Atari,,,
DIRECTORY,Jaguar CD,,,
DIRECTORY,Bonus Discs,,,
DIRECTORY,Atari Jaguar CD - Bonus Discs,,,
FILE,Atari Jaguar CD - Bonus Discs (TOSEC-v2012-07-17_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Atari/Jaguar CD/Bonus Discs/Atari Jaguar CD - Bonus Discs/Atari Jaguar CD - Bonus Discs (TOSEC-v2012-07-17_CM).dat,4161899885,1492
DIRECTORY,Homebrew,,,
DIRECTORY,Games,,,
DIRECTORY,[NRG],,,
DIRECTORY,Atari Jaguar CD - Homebrew - Games - [NRG],,,
FILE,Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Atari/Jaguar CD/Homebrew/Games/[NRG]/Atari Jaguar CD - Homebrew - Games - [NRG]/Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat,1450276296,1232
DIRECTORY,[CDI],,,
DIRECTORY,Atari Jaguar CD - Homebrew - Games - [CDI],,,
FILE,Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2022-06-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Atari/Jaguar CD/Homebrew/Games/[CDI]/Atari Jaguar CD - Homebrew - Games - [CDI]/Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2022-06-08_CM).dat,4058180468,1179
DIRECTORY,[BIN],,,
DIRECTORY,Atari Jaguar CD - Homebrew - Games - [BIN],,,
FILE,Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Atari/Jaguar CD/Homebrew/Games/[BIN]/Atari Jaguar CD - Homebrew - Games - [BIN]/Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat,3795537201,1049
DIRECTORY,Samplers,,,
DIRECTORY,Atari Jaguar CD - Samplers,,,
FILE,Atari Jaguar CD - Samplers (TOSEC-v2012-07-17_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Atari/Jaguar CD/Samplers/Atari Jaguar CD - Samplers/Atari Jaguar CD - Samplers (TOSEC-v2012-07-17_CM).dat,1817508759,1369
DIRECTORY,Games,,,
DIRECTORY,Atari Jaguar CD - Games,,,
FILE,Atari Jaguar CD - Games (TOSEC-v2012-07-17_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Atari/Jaguar CD/Games/Atari Jaguar CD - Games/Atari Jaguar CD - Games (TOSEC-v2012-07-17_CM).dat,2529854201,8582
DIRECTORY,Fujitsu,,,
DIRECTORY,FM Towns,,,
DIRECTORY,CD,,,
DIRECTORY,Homebrew,,,
DIRECTORY,Demos,,,
DIRECTORY,Fujitsu FM Towns - CD - Homebrew - Demos,,,
FILE,Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Fujitsu/FM Towns/CD/Homebrew/Demos/Fujitsu FM Towns - CD - Homebrew - Demos/Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat,1251260783,865
DIRECTORY,Games,,,
DIRECTORY,Fujitsu FM Towns - CD - Homebrew - Games,,,
FILE,Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Fujitsu/FM Towns/CD/Homebrew/Games/Fujitsu FM Towns - CD - Homebrew - Games/Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat,1958034613,883
DIRECTORY,Operating Systems,,,
DIRECTORY,Fujitsu FM Towns - CD - Operating Systems,,,
FILE,Fujitsu FM Towns - CD - Operating Systems (TOSEC-v2021-12-11_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Fujitsu/FM Towns/CD/Operating Systems/Fujitsu FM Towns - CD - Operating Systems/Fujitsu FM Towns - CD - Operating Systems (TOSEC-v2021-12-11_CM).dat,855838117,8425
DIRECTORY,Demos,,,
DIRECTORY,Fujitsu FM Towns - CD - Demos,,,
FILE,Fujitsu FM Towns - CD - Demos (TOSEC-v2021-12-11_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Fujitsu/FM Towns/CD/Demos/Fujitsu FM Towns - CD - Demos/Fujitsu FM Towns - CD - Demos (TOSEC-v2021-12-11_CM).dat,2452475807,1673
DIRECTORY,Applications,,,
DIRECTORY,Fujitsu FM Towns - CD - Applications,,,
