Type,Name,URL,CRC,Size
DIRECTORY,AMPRO Computers,,,
DIRECTORY,LittleBoard Z80,,,
DIRECTORY,System,,,
DIRECTORY,AMPRO Computers LittleBoard Z80 - System,,,
FILE,AMPRO Computers LittleBoard Z80 - System (TOSEC-v2017-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/AMPRO Computers/LittleBoard Z80/System/AMPRO Computers LittleBoard Z80 - System/AMPRO Computers LittleBoard Z80 - System (TOSEC-v2017-07-25_CM).dat,3009078730,2032
DIRECTORY,Applications,,,
DIRECTORY,AMPRO Computers LittleBoard Z80 - Applications,,,
FILE,AMPRO Computers LittleBoard Z80 - Applications (TOSEC-v2017-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/AMPRO Computers/LittleBoard Z80/Applications/AMPRO Computers LittleBoard Z80 - Applications/AMPRO Computers LittleBoard Z80 - Applications (TOSEC-v2017-07-25_CM).dat,2299893021,909
DIRECTORY,SNK,,,
DIRECTORY,Neo-Geo Pocket Color,,,
DIRECTORY,Firmware,,,
DIRECTORY,SNK Neo-Geo Pocket Color - Firmware,,,
FILE,SNK Neo-Geo Pocket Color - Firmware (TOSEC-v2011-08-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/SNK/Neo-Geo Pocket Color/Firmware/SNK Neo-Geo Pocket Color - Firmware/SNK Neo-Geo Pocket Color - Firmware (TOSEC-v2011-08-13_CM).dat,564668561,884
DIRECTORY,Educational,,,
DIRECTORY,SNK Neo-Geo Pocket Color - Educational,,,
FILE,SNK Neo-Geo Pocket Color - Educational (TOSEC-v2011-08-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/SNK/Neo-Geo Pocket Color/Educational/SNK Neo-Geo Pocket Color - Educational/SNK Neo-Geo Pocket Color - Educational (TOSEC-v2011-08-13_CM).dat,3917909650,844
DIRECTORY,Samplers,,,
DIRECTORY,SNK Neo-Geo Pocket Color - Samplers,,,
FILE,SNK Neo-Geo Pocket Color - Samplers (TOSEC-v2011-08-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/SNK/Neo-Geo Pocket Color/Samplers/SNK Neo-Geo Pocket Color - Samplers/SNK Neo-Geo Pocket Color - Samplers (TOSEC-v2011-08-13_CM).dat,1975161012,3411
DIRECTORY,Demos,,,
